ID,EMF_sp,Synonymia,Reference_original,Introduced_only,Plantation_only,Invasion_mature,Invasion_front,Host,Field_sample,Greenhouse_sample,Introduced_to,Stand_mean_age_years,Mean_altitude_m,LAT_decimal,LON_decimal,N_g/kg,pH,SOC_g/kg,Annual_mean_temperature_°C,Annual_precipitation_mm,Type_of_ecosystem ,Observations 
246,Suillus brevipes,Valid,Grgurinovic 1997,1,0,0,0,Pinus sp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
247,Suillus brevipes,Valid,Hemmes & Desjardin 2002,1,0,0,0,Pinus radiata,1,0,"Hawaii, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
248,Suillus brevipes,Valid,Knudsen & Borgen 1987,1,0,0,0,Pinus contorta ,1,0,Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
249,Suillus brevipes,Valid,McNabb 1968,1,0,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
250,Suillus brevipes,Valid,McNabb 1968,1,0,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
251,Suillus brevipes,Valid,Miller et al. 2000,0,1,0,0,Pinus caribaea,1,0,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
252,Suillus cothurnatus,Valid,Giachini et al. 2000,0,1,0,0,Pinus spp.,1,0,"Santa Catarina, Brazil",19,0,-26.3666667,-48.7166663888888,4.32,4.2,65.9,22,1700,Subtropical forest,Climatic variables and pH informed in the paper
253,Suillus granulatus,Valid,Buyck 1994,1,0,0,0,Pinus sp.,1,0,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some soil variables informed in the paper (C/N/P)
254,Suillus granulatus,Valid,CABI Bioscience 2008,1,0,0,0,Pinus spp.,1,0,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some soil variables informed in the paper (C/N/P)
255,Suillus granulatus,Valid,Chaudhry 1980,1,0,0,0,Pinus caribaea,1,0,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
256,Suillus granulatus,Valid,Chu-Chou 1979,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
257,Suillus granulatus,Valid,Dunstan et al. 1998,1,0,0,0,Pinus sp. ,1,0,Australia,22,,-34,115,1.57,6.4,41.5,NA,NA,Grassland ,
258,Suillus granulatus,Valid,Garrido 1986,0,1,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
259,Suillus granulatus,Valid,Giachini et al. 2000,0,1,0,0,Pinus spp.,1,0,"Santa Catarina, Brazil",19,0,-26.3666667,-48.7166663888888,4.32,4.2,65.9,22,1700,Subtropical forest,Climatic variables and pH informed in the paper
260,Suillus granulatus,Valid,Giachini et al. 2004,0,1,0,0,Pinus taeda,1,0,"Santa Catarina, Brazil",9,800,-27.75,-49.5,3.11,4.8,36.6,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
261,Suillus granulatus,Valid,Grgurinovic 1997,1,0,0,0,Pinus spp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
262,Suillus granulatus,Valid,Härkönen et al. 1994,0,1,0,0,Pinus spp.,1,0,Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
263,Suillus granulatus,Valid,Hemmes & Desjardin 2002,1,0,0,0,Pinus elliotti,1,0,"Hawaii, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
264,Suillus granulatus,Valid,Jalink & Nauta 1993,1,0,0,0,Pinus virginiana,1,0,"Malvinas (Falkland Islands), Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
265,Suillus granulatus,Valid,Kost 2002,1,0,0,0,Pinus sp.,1,0,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
266,Suillus granulatus,Valid,Lamb & Richards 1970,1,0,0,0,Pinus spp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
267,Suillus granulatus,Valid,Lundquist 1986,1,0,0,0,Pinus spp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
268,Suillus granulatus,Valid,Lundquist 1987a,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
269,Suillus granulatus,Valid,Lundquist 1987b,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
270,Suillus granulatus,Valid,McNabb 1968,1,0,0,0,Pinus spp.,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
271,Suillus granulatus,Valid,Mikola 1969,0,1,0,0,Pinus spp.,1,0,"Australia, South Africa, Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
272,Suillus granulatus,Valid,Morris 1990,1,0,0,0,Pinus sp.,1,0,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
273,Suillus granulatus,Valid,Pegler 1977,1,0,0,0,Pinus spp.,1,0,Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
274,Suillus granulatus,Valid,Petersen et al. 1994,0,1,0,0,Pinus sp.,1,0,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
275,Suillus granulatus,Valid,Putzke et al. 1994,1,0,0,0,Pinus sp. ,1,0,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
276,Suillus granulatus,Valid,Ryvarden et al. 1994,1,0,0,0,Pinus spp. ,1,0,Zambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
277,Suillus granulatus,Valid,Shepherd & Totterdell 1988,1,0,0,0,Pinus sp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
278,Suillus granulatus,Valid,Stevenson 1961,1,0,0,0,Pinus sp.,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
279,Suillus granulatus,Valid,Watling & de Meijer 1997,0,1,0,0,Pinus spp.,1,0,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
280,Suillus luteus,Valid,Barroetaveña et al. 2005,0,1,0,0,Pinus ponderosa,1,0,"Patagonia, Argentina",40,650,-42.9166667,-71.35,3.13,6.1,52.9,9.8,750,Steppe grassland,Climatic variables informed in the paper
281,Suillus luteus,Valid,Birch 1937,1,0,0,0,Pinus radiata,1,0,"North Island, New Zealand ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some soil variables informed in the paper (C/N/P)
282,Suillus luteus,Valid,Both 1993,1,0,0,0,Pinus sylvestris,1,0,North America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some soil variables informed in the paper (C/N/P)
283,Suillus luteus,Valid,Bougher & Syme 1998,1,0,0,0,Pinus radiata,1,0,South Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some soil variables informed in the paper (C/N/P)
284,Suillus luteus,Valid,Buyck 1994,1,0,0,0,Pinus sp.,1,0,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some soil variables informed in the paper (C/N/P)
285,Suillus luteus,Valid,Chapela et al. 2001,0,1,0,0,Pinus radiata,1,0,Ecuador,30,3600,-1.4083333,-79.0111111111111,3.78,6.1,51.2,8,957,Highland grassland,Some soil variables informed in the paper (C)
286,Suillus luteus,Valid,Chu-Chou 1979,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
287,Suillus luteus,Valid,Dennis 1970,1,0,0,0,Pinus sp. ,1,0,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
288,Suillus luteus,Valid,Dunstan et al. 1998,1,0,0,0,Pinus sp. ,1,0,Australia,22,,-34,115,1.57,6.4,41.5,NA,NA,Grassland ,
289,Suillus luteus,Valid,Franco-Molano et al. 2000,1,0,0,0,Pinus sp.,1,0,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
290,Suillus luteus,Valid,Garrido 1983,0,1,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
291,Suillus luteus,Valid,Garrido 1986,0,1,0,0,Pinus spp.,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
292,Suillus luteus,Valid,Garrido et al. 1983,0,1,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
293,Suillus luteus,Valid,Gibson 1963,1,0,0,0,Pinus spp.,1,0,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
294,Suillus luteus,Valid,Grgurinovic 1997,1,0,0,0,Pinus spp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
295,Suillus luteus,Valid,Grund & Harrison 1976,1,0,0,0,Pinus sylvestris,1,0,"Nova Scotia, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
296,Suillus luteus,Valid,Hedger 1986,1,0,0,0,Pinus sp.,1,0,Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
297,Suillus luteus,Valid,Kost 2002,1,0,0,0,Pinus sp. ,1,0,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
298,Suillus luteus,Valid,Lavorato 1999,1,0,0,0,Pinus radiata,1,0,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
299,Suillus luteus,Valid,McNabb 1968,1,0,0,0,Pinus spp.,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
300,Suillus luteus,Valid,Mikola 1969,0,1,0,0,Pinus spp.,1,0,"Australia, South Africa, Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
301,Suillus luteus,Valid,Peck 1887,1,0,0,0,Pinus sp.,1,0,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
302,Suillus luteus,Valid,Pegler 1977,1,0,0,0,Pinus patula,1,0,Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
303,Suillus luteus,Valid,Peredo et al. 1983,0,1,0,0,Pinus radiata,1,0,Chile,30,151,-40.25,-73.25,6.44,5.6,107.1,11.1,1647,Temperate forest,
304,Suillus luteus,Valid,Petersen et al. 1994,0,1,0,0,Pinus sp.,1,0,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
305,Suillus luteus,Valid,Putzke et al. 1994,1,0,0,0,Pinus sp. ,1,0,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
306,Suillus luteus,Valid,Shepherd & Totterdell 1988,1,0,0,0,Pinus sp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
307,Suillus luteus,Valid,Singer 1953,1,0,0,0,Pinus sp. ,1,0,"Patagonia, Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
308,Suillus luteus,Valid,Smith & Thiers 1964,1,0,0,0,Pinus sp.,1,0,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
309,Suillus luteus,Valid,Smith & Thiers 1964,1,0,0,0,Pinus sylvestris,1,0,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
310,Suillus luteus,Valid,Sobestiansky 2005,1,0,0,0,Pinus sp.,1,0,Brazil,40,565,-29.3666667,-51.1333333333333,2.68,5.6,28.1,17.2,1804,Subtropical forest,
311,Suillus luteus,Valid,Stevenson 1961,1,0,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
312,Suillus luteus,Valid,Watling & de Meijer 1997,0,1,0,0,Pinus elliotti,1,0,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
313,Suillus pictus,Valid,Bas 1973,1,0,0,0,Pinus strobus,1,0,Germany,37,NA,NA,NA,0.33,NA,5.7,NA,NA,Temperate forest ,Some soil variables informed in the paper (C/N/P)
314,Suillus pictus,Valid,Dieker 2007,1,0,0,0,Pinus strobus,1,0,The Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
315,Suillus pictus,Valid,Estadès & Lannoy 2004,1,0,0,0,Pinus strobus,1,0,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
316,Suillus pictus,Valid,Krieglsteiner 1991,1,0,0,0,Pinus strobus,1,0,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
317,Suillus placidus,Valid,Arnolds 1995,1,0,0,0,Pinus strobus,1,0,The Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
318,Suillus placidus,Valid,Breitenbach & Kränzlin 1991,1,0,0,0,Pinus spp.,1,0,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some soil variables informed in the paper (C/N/P)
319,Suillus placidus,Valid,Derbsch & Schmitt 1987,1,0,0,0,Pinus strobus,1,0,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
320,Suillus placidus,Valid,Favre 1960,1,0,0,0,Pinus spp.,1,0,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
321,Suillus placidus,Valid,Jamoni 1990,1,0,0,0,Pinus strobus,1,0,Italy ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
322,Suillus placidus,Valid,Kallio & Heikkilä 1992,1,0,0,0,Pinus strobus,1,0,Sweeden ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
